cod,nome,nome_curto,incl,excl,crit,cons,nota,icd10,ICD_10_new,ICD_10_list_description,ICD_10_list_description_join
-68,Outra referenciação NE,Outra referenciação NE,,,,,,,,[],
-69,Outro motivo de consulta NE,Outro motivo de consulta NE,,,,,,,,[],
A01,Dor generalizada/múltiplos locais,Dor generalizada/múltiplos locais,dor crónica generalizada; dores múltiplas,,,,,R52.0; R52.1; R52.2; R52.9,"['R520', 'R521', 'R522', 'R529']",[],
A02,Arrepios,Arrepios,calafrios; tremores,febre A03,,,,R68.8,['R688'],['Outros sintomas e sinais gerais'],Outros sintomas e sinais gerais
A03,Febre,Febre,pirexia,febre com exantemas A76; exaustão pelo calor A88; golpe de calor A88,,,,R50.8; R50.9,"['R508', 'R509']","['Outra febre especificada', 'Febre, sem outra especificação']","Outra febre especificada; Febre, sem outra especificação"
A04,Debilidade/cansaço geral,Debilidade/cansaço geral,síndrome de fadiga crónica; exaustão; fadiga; lassidão; letargia; fadiga pós-viral,sentir-se doente/má-disposição A05; modorra A29; exaustão pelo calor A88; cansaço por desfasamento horário (jetlag) A88; perturbação do sono P06,,,,G93.3; R53,"['G933', 'R53']","['Síndrome de fadiga pós-viral', 'Mal estar, fadiga']","Síndrome de fadiga pós-viral; Mal estar, fadiga"
A05,Sentir-se doente,Sentir-se doente,mal-estar,senescência/senilidade P05; caquexia T08; malnutrição T91,,,,R53,['R53'],"['Mal estar, fadiga']","Mal estar, fadiga"
A06,Desmaio/síncope,Desmaio/síncope,perda momentânea da consciência; colapso; crise vasovagal,coma A07; sentir-se tonto/tontura N17,,,,R55,['R55'],['Síncope e colapso'],Síncope e colapso
A07,Coma,Coma,estupor,síncope A06,,,,R40.0; R40.1; R40.2,"['R400', 'R401', 'R402']","['Sonolência', 'Estupor', 'Coma']",Sonolência; Estupor; Coma
A08,Inchaço,Inchaço,alto; massa NE,gânglio linfático aumentado B02; edema K07; inchaço de articulação L20; inchaço da mama (tumor/nódulo da mama feminina) X19; inchaço da mama (sintoma/queixa da mama masculina) Y16,,,,R68.8,['R688'],['Outros sintomas e sinais gerais'],Outros sintomas e sinais gerais
A09,Problema de sudorese,Problema de sudorese,"hiperhidrose, difusa e localizada",doença das glândulas sudoríparas S92,,,,R61.0; R61.1; R61.9,"['R610', 'R611', 'R619']",[],
A10,Sangramento/hemorragia NE,Sangramento/hemorragia NE,sangramento/hemorragia de mais de um local/órgão,,,,,R58,['R58'],"['Hemorragia, não classificada noutra parte']","Hemorragia, não classificada noutra parte"
A11,Dor torácica NE,Dor torácica NE,,dor atribuída ao coração K01; dor atribuída à parede torácica L04; dor atribuída ao sistema respiratório R01,,,,R07.4,['R074'],[],
A13,Preocupação com/medo de tratamento médico,Preocupação com/medo tratam médico,preocupação com/medo das consequências da medicação/de tratamento médico,efeito adverso de medicamento A85; complicação de tratamento médico/cirúrgico A87,,,,Z71.1,['Z711'],['Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito'],Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito
A16,Bebé irritavél,Bebé irritavél,choro excessivo/bebé agitado,cólica infantil D01; criança/adulto agitado P04,,,,R68.1,['R681'],['Sintomas não específicos peculiares à infância'],Sintomas não específicos peculiares à infância
A18,Preocupação com a aparência,Preocupação com a aparência,,preocupação com o aspecto das orelhas H15; nariz proeminente R08; preocupação com a aparência na gravidez W21; preocupação com a aparência da mama X22,,,,R46.8,['R468'],['Outros sintomas e sinais envolvendo a aparência e o comportamento'],Outros sintomas e sinais envolvendo a aparência e o comportamento
A20,Pedido/discussão da eutanásia,Pedido/discussão da eutanásia,,,,,,Z71.8,['Z718'],['Admissão para aconselhamento especificado NCOP'],Admissão para aconselhamento especificado NCOP
A21,Factor de risco para malignidade,Factor de risco para malignidade,outro factor de risco para malignidade; tratamento anterior de malignidade; história pessoal/familiar de malignidade,,,,,Z80.0; Z80.1; Z80.2; Z80.3; Z80.4; Z80.5; Z80.6; Z80.7; Z80.8; Z80.9; Z85.0; Z85.1; Z85.2; Z85.3; Z85.4; Z85.5; Z85.6; Z85.7; Z85.8; Z85.9; Z92.6,"['Z800', 'Z801', 'Z802', 'Z803', 'Z804', 'Z805', 'Z806', 'Z807', 'Z808', 'Z809', 'Z850', 'Z851', 'Z852', 'Z853', 'Z854', 'Z855', 'Z856', 'Z857', 'Z858', 'Z859', 'Z926']","['História familiar de neoplasia maligna de órgãos digestivos', 'História familiar de neoplasia maligna da traqueia, brônquios e pulmões', 'História familiar de neoplasia maligna de outros órgãos respiratórios e intratorácicos', 'História familiar de neoplasia maligna da mama', 'História familiar de neoplasia maligna de órgãos genitais', 'História familiar de neoplasia maligna do trato urinário', 'História familiar de leucemia', 'História familiar de outras neoplasias malignas do tecido linfático, hemotopoiético e tecidos relacionados', 'História familiar de neoplasia maligna de outros órgãos ou aparelhos', 'História familiar de neoplasia maligna, sem outra especificação', 'História pessoal de neoplasia maligna de órgãos digestivos', 'História pessoal de neoplasia maligna de traqueia, brônquio e pulmão', 'História pessoal de neoplasia maligna de outros órgãos do aparelho respiratório e intratorácicos', 'História pessoal de neoplasia maligna da mama', 'História pessoal de neoplasia maligna de órgãos genitais', 'História pessoal de neoplasia maligna do trato urinário', 'História pessoal de leucemia', 'História pessoal de outra neoplasia maligna de tecido linfóide, hematopoiético e outros tecidos relacionados', 'História pessoal de neoplasias malignas de outros órgãos e aparelhos', 'História pessoal de neoplasia maligna, sem outra especificação']","História familiar de neoplasia maligna de órgãos digestivos; História familiar de neoplasia maligna da traqueia, brônquios e pulmões; História familiar de neoplasia maligna de outros órgãos respiratórios e intratorácicos; História familiar de neoplasia maligna da mama; História familiar de neoplasia maligna de órgãos genitais; História familiar de neoplasia maligna do trato urinário; História familiar de leucemia; História familiar de outras neoplasias malignas do tecido linfático, hemotopoiético e tecidos relacionados; História familiar de neoplasia maligna de outros órgãos ou aparelhos; História familiar de neoplasia maligna, sem outra especificação; História pessoal de neoplasia maligna de órgãos digestivos; História pessoal de neoplasia maligna de traqueia, brônquio e pulmão; História pessoal de neoplasia maligna de outros órgãos do aparelho respiratório e intratorácicos; História pessoal de neoplasia maligna da mama; História pessoal de neoplasia maligna de órgãos genitais; História pessoal de neoplasia maligna do trato urinário; História pessoal de leucemia; História pessoal de outra neoplasia maligna de tecido linfóide, hematopoiético e outros tecidos relacionados; História pessoal de neoplasias malignas de outros órgãos e aparelhos; História pessoal de neoplasia maligna, sem outra especificação"
A23,Factor de risco NE,Factor de risco NE,contacto com doença infecciosa; outro factor de risco para outra doença; história pessoal/familiar de outra doença; episódio anterior de outra doença,factor de risco para malignidade A21; factor de risco para doença cardiovascular K22,,,,Z20.0; Z20.1; Z20.2; Z20.3; Z20.4; Z20.5; Z20.6; Z20.7; Z20.8; Z20.9; Z28.0; Z28.1; Z28.2; Z28.8; Z28.9; Z72.0; Z72.1; Z72.2; Z72.3; Z72.4; Z72.5; Z73.2; Z81.0; Z81.1; Z81.2; Z81.3; Z81.4; Z81.8; Z82.0; Z82.1; Z82.2; Z82.5; Z82.6; Z82.7; Z82.8; Z83.0; Z83.1; Z83.2; Z83.3; Z83.4; Z83.5; Z83.6; Z83.7; Z84.0; Z84.1; Z84.2; Z84.3; Z84.8; Z86.0; Z86.1; Z86.2; Z86.3; Z86.4; Z86.5; Z86.6; Z87.0; Z87.1; Z87.2; Z87.3; Z87.4; Z87.5; Z87.6; Z87.7; Z87.8; Z88.0; Z88.1; Z88.2; Z88.3; Z88.4; Z88.5; Z88.6; Z88.7; Z88.8; Z88.9; Z91.0; Z91.1; Z91.2; Z91.3; Z91.4; Z91.5; Z91.6; Z91.8; Z92.0; Z92.1; Z92.2; Z92.3; Z92.4; Z92.5; Z92.8; Z92.9,"['Z200', 'Z201', 'Z202', 'Z203', 'Z204', 'Z205', 'Z206', 'Z207', 'Z208', 'Z209', 'Z280', 'Z281', 'Z282', 'Z288', 'Z289', 'Z720', 'Z721', 'Z722', 'Z723', 'Z724', 'Z725', 'Z732', 'Z810', 'Z811', 'Z812', 'Z813', 'Z814', 'Z818', 'Z820', 'Z821', 'Z822', 'Z825', 'Z826', 'Z827', 'Z828', 'Z830', 'Z831', 'Z832', 'Z833', 'Z834', 'Z835', 'Z836', 'Z837', 'Z840', 'Z841', 'Z842', 'Z843', 'Z848', 'Z860', 'Z861', 'Z862', 'Z863', 'Z864', 'Z865', 'Z866', 'Z870', 'Z871', 'Z872', 'Z873', 'Z874', 'Z875', 'Z876', 'Z877', 'Z878', 'Z880', 'Z881', 'Z882', 'Z883', 'Z884', 'Z885', 'Z886', 'Z887', 'Z888', 'Z889', 'Z910', 'Z911', 'Z912', 'Z913', 'Z914', 'Z915', 'Z916', 'Z918', 'Z920', 'Z921', 'Z922', 'Z923', 'Z924', 'Z925', 'Z928', 'Z929']","['Contacto com e exposição (suspeita) a doenças infecciosas do intestino', 'Contacto com e exposição (suspeita) a tuberculose', 'Contacto com e exposição (suspeita) a Infeções com um modo de transmissão predominantemente sexual', 'Contacto com e exposição (suspeita) a raiva', 'Contacto com e exposição (suspeita) a rubéola', 'Contacto com e exposição (suspeita) a hepatite viral', 'Contacto com e exposição (suspeita) a vírus da imunodeficiência humana [VIH]', 'Contacto com e exposição (suspeita) a pediculose [piolhos], acaríase [ácaros] e outras infestações', 'Contacto com  e exposicao (suspeita) a outras doenças transmissíveis', 'Contacto com e exposição (suspeita) a doença transmissível, sem outra especificação', 'Imunização não realizada por contra-Indicação', 'Vacinacão não realizada por causa de motivos religiosos', 'Imunização não realizada por decisão do doente devida a razões outras e às não especificadas', 'Vacinação não realizada por outra razão', 'Vacinacão não realizada por razao não especificada', 'Uso de tabaco', 'Falta de exercício fisico', 'Hábitos alimentares e dieta inadequados', 'Comportamento sexual de alto risco', 'Falta de repouso e de lazer', 'História familiar de deficiências intelectuais', 'História familiar de abuso de álcool e dependência', 'História familiar de abuso e dependência de tabaco', 'História familiar de abuso e dependência de outra substância psicoativa', 'História familiar de abuso e dependência de outra substância', 'História familiar de outras patologias mentais e do comportamento', 'História familiar de epilepsia e outras doenças do sistema nervoso', 'História familiar de amaurose e perda da visão', 'História familiar de surdez e perda da audição', 'História familiar de asma e outras doenças respiratórias inferiores crónicas', 'História familiar de artrite e outras doenças do aparelho musculoesqueléctico e do tecido conjuntivo', 'História familiar de malformações e deformações congénitas e anomalias cromossómicas', 'História familiar de outras incapacidades e doenças crónicas que levam a incapacidade, não classificadas noutra parte', 'História familiar de doença pelo vírus da imunodeficiência humana [VIH]', 'História familiar de outras doenças infecciosas e parasitárias', 'História familiar de doenças do sangue e dos órgãos hematopoiéticos e certas patologias que inflenciam o mecanismo imunitário', 'História familiar de Diabetes mellitus', 'História familiar de outras doenças endócrinas, nutricionais e metabólicas', 'História familiar de patologias do olho e do ouvido', 'História familiar de outras doenças do aparelho respiratório', 'História familiar de doenças do aparelho digestivo', 'História familiar de doenças da pele e do tecido subcutâneo', 'História familiar de patologias do rim e ureter', 'História familiar de outras doenças do aparelho genitourinário', 'História familiar de consanguinidade', 'História familiar de outras condições especificadas', 'História pessoal de neoplasias in situ e benignas e neoplasias de comportamento incerto', 'História pessoal de doenças infecciosas e parasitárias', 'História pessoal de doenças do sangue e dos órgãos hematopoéticos e algumas patologias envolvendo o mecanismo imunitário', 'História pessoal de doenças endócrinas, nutricionais e metabólicas', 'História pessoal de distúrbios mentais e comportamentais', 'História pessoal de doenças do sistema nervoso e dos órgãos sensitivos', 'História pessoal de doenças do aparelho respiratório', 'História pessoal de doenças do aparelho digestivo', 'História pessoal de doenças da pele e do tecido subcutâneo', 'História pessoal de doenças do aparelho musculoesquelético e tecido conjuntivo', 'História pessoal de doenças do aparelho genitourinário', 'História pessoal de complicações da gravidez, parto e puerpério', 'História pessoal de determinadas condições (corrigidas) que surgiram no período perinatal', 'História pessoal de malformações congénitas (corrigidas)', 'História pessoal de outras doenças especificadas', 'Historia pessoal de alergia a penicilina', 'História pessoal de alergia a outros antibióticos', 'Historia pessoal de alergia a sulfonamidas', 'Historia pessoal de alergia a agentes anti-infecciosos NCOP', 'Historia pessoal de alergia a anestésicos', 'Historia pessoal de alergia a narcóticos', 'Historia pessoal de alergia a analgésicos', 'Historia pessoal de alergia a soros ou vacinas', 'História pessoal de alergia a outros fármacos, medicamentos e a substâncias biológicas', 'História pessoal de alergia a fármacos, medicamentos e a substâncias biológicas, SOE', 'História pessoal de alergia exceto a drogas e a substâncias biológicas', 'Doente sem adesão ao tratamento e regime médicos', 'História pessoal de trauma psicológico não classificado noutra parte', 'História pessoal de auto-agressão', 'História pessoal de outros fatores de risco especificados, não classificados noutra parte', 'História pessoal de contraceção', 'História pessoal de terapêutica farmacológica', 'História pessoal de irradiação', 'História pessoal de outro tratamento médico']","Contacto com e exposição (suspeita) a doenças infecciosas do intestino; Contacto com e exposição (suspeita) a tuberculose; Contacto com e exposição (suspeita) a Infeções com um modo de transmissão predominantemente sexual; Contacto com e exposição (suspeita) a raiva; Contacto com e exposição (suspeita) a rubéola; Contacto com e exposição (suspeita) a hepatite viral; Contacto com e exposição (suspeita) a vírus da imunodeficiência humana [VIH]; Contacto com e exposição (suspeita) a pediculose [piolhos], acaríase [ácaros] e outras infestações; Contacto com  e exposicao (suspeita) a outras doenças transmissíveis; Contacto com e exposição (suspeita) a doença transmissível, sem outra especificação; Imunização não realizada por contra-Indicação; Vacinacão não realizada por causa de motivos religiosos; Imunização não realizada por decisão do doente devida a razões outras e às não especificadas; Vacinação não realizada por outra razão; Vacinacão não realizada por razao não especificada; Uso de tabaco; Falta de exercício fisico; Hábitos alimentares e dieta inadequados; Comportamento sexual de alto risco; Falta de repouso e de lazer; História familiar de deficiências intelectuais; História familiar de abuso de álcool e dependência; História familiar de abuso e dependência de tabaco; História familiar de abuso e dependência de outra substância psicoativa; História familiar de abuso e dependência de outra substância; História familiar de outras patologias mentais e do comportamento; História familiar de epilepsia e outras doenças do sistema nervoso; História familiar de amaurose e perda da visão; História familiar de surdez e perda da audição; História familiar de asma e outras doenças respiratórias inferiores crónicas; História familiar de artrite e outras doenças do aparelho musculoesqueléctico e do tecido conjuntivo; História familiar de malformações e deformações congénitas e anomalias cromossómicas; História familiar de outras incapacidades e doenças crónicas que levam a incapacidade, não classificadas noutra parte; História familiar de doença pelo vírus da imunodeficiência humana [VIH]; História familiar de outras doenças infecciosas e parasitárias; História familiar de doenças do sangue e dos órgãos hematopoiéticos e certas patologias que inflenciam o mecanismo imunitário; História familiar de Diabetes mellitus; História familiar de outras doenças endócrinas, nutricionais e metabólicas; História familiar de patologias do olho e do ouvido; História familiar de outras doenças do aparelho respiratório; História familiar de doenças do aparelho digestivo; História familiar de doenças da pele e do tecido subcutâneo; História familiar de patologias do rim e ureter; História familiar de outras doenças do aparelho genitourinário; História familiar de consanguinidade; História familiar de outras condições especificadas; História pessoal de neoplasias in situ e benignas e neoplasias de comportamento incerto; História pessoal de doenças infecciosas e parasitárias; História pessoal de doenças do sangue e dos órgãos hematopoéticos e algumas patologias envolvendo o mecanismo imunitário; História pessoal de doenças endócrinas, nutricionais e metabólicas; História pessoal de distúrbios mentais e comportamentais; História pessoal de doenças do sistema nervoso e dos órgãos sensitivos; História pessoal de doenças do aparelho respiratório; História pessoal de doenças do aparelho digestivo; História pessoal de doenças da pele e do tecido subcutâneo; História pessoal de doenças do aparelho musculoesquelético e tecido conjuntivo; História pessoal de doenças do aparelho genitourinário; História pessoal de complicações da gravidez, parto e puerpério; História pessoal de determinadas condições (corrigidas) que surgiram no período perinatal; História pessoal de malformações congénitas (corrigidas); História pessoal de outras doenças especificadas; Historia pessoal de alergia a penicilina; História pessoal de alergia a outros antibióticos; Historia pessoal de alergia a sulfonamidas; Historia pessoal de alergia a agentes anti-infecciosos NCOP; Historia pessoal de alergia a anestésicos; Historia pessoal de alergia a narcóticos; Historia pessoal de alergia a analgésicos; Historia pessoal de alergia a soros ou vacinas; História pessoal de alergia a outros fármacos, medicamentos e a substâncias biológicas; História pessoal de alergia a fármacos, medicamentos e a substâncias biológicas, SOE; História pessoal de alergia exceto a drogas e a substâncias biológicas; Doente sem adesão ao tratamento e regime médicos; História pessoal de trauma psicológico não classificado noutra parte; História pessoal de auto-agressão; História pessoal de outros fatores de risco especificados, não classificados noutra parte; História pessoal de contraceção; História pessoal de terapêutica farmacológica; História pessoal de irradiação; História pessoal de outro tratamento médico"
A25,Medo da morte/de morrer,Medo de morrer/da morte,,,,,,Z71.1,['Z711'],['Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito'],Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito
A26,"Medo de cancro, NE",Medo de cancro NE,,"se o doente tem cancro, codifique a doença",preocupação com/medo de cancro não relacionado com um capítulo específico numa pessoa sem a doença/até o diagnóstico ser confirmado,,,Z71.1,['Z711'],['Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito'],Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito
A27,Medo de outra doença NE,Medo de outra doença NE,,"medo de cancro NE A26; se o doente tem a doença, codifique-a",preocupação com/medo de outra doença não relacionada com um capítulo específico numa pessoa sem a doença/até o diagnóstico ser confirmado,,,Z71.1,['Z711'],['Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito'],Individuo com queixa de saúde receada em quem nenhum diagnostico foi feito
A28,Limitação funcional/incapacidade NE,Limitação funcional/incapacidade NE,,quedas A29,limitação de função/incapacidade não relacionada com um problema em qualquer outro capítulo,,Os quadros COOP/WONCA permitem documentar o estado funcional do doente (ver Capítulo 8),R26.3; R29.6; Z73.6; Z74.0; Z74.1; Z74.2; Z74.3; Z74.8; Z74.9; Z99.0; Z99.3; Z99.8; Z99.9,"['R263', 'R296', 'Z736', 'Z740', 'Z741', 'Z742', 'Z743', 'Z748', 'Z749', 'Z990', 'Z993', 'Z998', 'Z999']","['Tendência a queda, não classificada em outra parte', 'Limites impostos às atividades por invalidez', 'Mobilidade reduzida', 'Necessidade ajuda nas atividades de vida diária', 'Necessidade de ajuda no domicílio, sendo que nenhum coabitante pode assegurar os cuidados', 'Necessidade de supervisão contínua', 'Outros problemas relacionados com a dependência de pessoa que oferece cuidados de saúde', 'Problema não especificado relacionado com a dependência de pessoa que oferece cuidados de saúde', 'Dependência de aspirador de secreções', 'Dependência de cadeira de rodas', 'Dependência de outras máquinas e aparelhos capacitantes']","Tendência a queda, não classificada em outra parte; Limites impostos às atividades por invalidez; Mobilidade reduzida; Necessidade ajuda nas atividades de vida diária; Necessidade de ajuda no domicílio, sendo que nenhum coabitante pode assegurar os cuidados; Necessidade de supervisão contínua; Outros problemas relacionados com a dependência de pessoa que oferece cuidados de saúde; Problema não especificado relacionado com a dependência de pessoa que oferece cuidados de saúde; Dependência de aspirador de secreções; Dependência de cadeira de rodas; Dependência de outras máquinas e aparelhos capacitantes"
A29,Sintoma/queixa geral outro,Sintoma/queixa geral outro,inépcia; quedas; sonolência,,,,,R68.0; R68.8,"['R680', 'R688']","['Hipotermia, não associada a baixa temperatura ambiental', 'Outros sintomas e sinais gerais']","Hipotermia, não associada a baixa temperatura ambiental; Outros sintomas e sinais gerais"
A70,Tuberculose,Tuberculose,efeito tardio da tuberculose; infecção por tuberculose em qualquer local do corpo,,conversão para um teste de tuberculina positivo; ou demonstração de Mycobacterium tuberculosis por microscopia ou cultura; ou manifestação característica na radiografia do tórax; ou apresentação histológica característica por biópsia,febre A03; tosse R05,,A15.0; A15.1; A15.2; A15.3; A15.4; A15.5; A15.6; A15.7; A15.8; A15.9; A16.0; A16.1; A16.2; A16.3; A16.4; A16.5; A16.7; A16.8; A16.9; A17.0; A17.1; A17.8; A17.9; A18.0; A18.1; A18.2; A18.3; A18.4; A18.5; A18.6; A18.7; A18.8; A19.0; A19.1; A19.2; A19.8; A19.9; B90.0; B90.1; B90.2; B90.8; B90.9; N74.0; N74.1,"['A150', 'A151', 'A152', 'A153', 'A154', 'A155', 'A156', 'A157', 'A158', 'A159', 'A160', 'A161', 'A162', 'A163', 'A164', 'A165', 'A167', 'A168', 'A169', 'A170', 'A171', 'A178', 'A179', 'A180', 'A181', 'A182', 'A183', 'A184', 'A185', 'A186', 'A187', 'A188', 'A190', 'A191', 'A192', 'A198', 'A199', 'B900', 'B901', 'B902', 'B908', 'B909', 'N740', 'N741']","['Tuberculose pulmonar', 'Tuberculose dos nódulos linfáticos intratorácicos', 'Tuberculose da laringe, da traqueia e dos brônquios', 'Pleurisia tuberculosa', 'Tuberculose primária das vias respiratórias', 'Outras formas de tuberculose das vias respiratórias', 'Tuberculose das vias respiratórias, não especificada', 'Meningite tuberculosa', 'Tuberculoma meníngeo', 'Outras tuberculoses do sistema nervoso', 'Tuberculose do sistema nervoso, não especificada', 'Tuberculose dos ossos e das articulações', 'Tuberculose do aparelho geniturinário', 'Linfadenopatia tuberculosa periférica', 'Tuberculose do intestino, do peritoneu e dos gânglios mesentéricos', 'Tuberculose da pele e do tecido celular subcutâneo', 'Tuberculose do olho', 'Tuberculose do ouvido (interno) (médio)', 'Tuberculose das glândulas supra-renais', 'Tuberculose de outros órgãos especificados', 'Tuberculose miliar aguda de localização única e especificada', 'Tuberculose miliar aguda de múltiplas localizações', 'Tuberculose miliar aguda, não especificada', 'Outras tuberculoses miliares', 'Tuberculose miliar, não especificada', 'Sequelas de tuberculose do sistema nervoso central', 'Sequelas de tuberculose do aparelho genitourinário', 'Sequelas de tuberculose dos ossos e das articulações', 'Sequelas de tuberculose de outros órgãos', 'Sequelas de tuberculose respiratória e tuberculose não especificada']","Tuberculose pulmonar; Tuberculose dos nódulos linfáticos intratorácicos; Tuberculose da laringe, da traqueia e dos brônquios; Pleurisia tuberculosa; Tuberculose primária das vias respiratórias; Outras formas de tuberculose das vias respiratórias; Tuberculose das vias respiratórias, não especificada; Meningite tuberculosa; Tuberculoma meníngeo; Outras tuberculoses do sistema nervoso; Tuberculose do sistema nervoso, não especificada; Tuberculose dos ossos e das articulações; Tuberculose do aparelho geniturinário; Linfadenopatia tuberculosa periférica; Tuberculose do intestino, do peritoneu e dos gânglios mesentéricos; Tuberculose da pele e do tecido celular subcutâneo; Tuberculose do olho; Tuberculose do ouvido (interno) (médio); Tuberculose das glândulas supra-renais; Tuberculose de outros órgãos especificados; Tuberculose miliar aguda de localização única e especificada; Tuberculose miliar aguda de múltiplas localizações; Tuberculose miliar aguda, não especificada; Outras tuberculoses miliares; Tuberculose miliar, não especificada; Sequelas de tuberculose do sistema nervoso central; Sequelas de tuberculose do aparelho genitourinário; Sequelas de tuberculose dos ossos e das articulações; Sequelas de tuberculose de outros órgãos; Sequelas de tuberculose respiratória e tuberculose não especificada"
A71,Sarampo,Sarampo,complicações de sarampo,,"pródromo com injecção das conjuntivas, febre e tosse; mais manchas brancas em base vermelha nas membranas da mucosa jugal (manchas de Koplik)M´; ou erupção maculopapular confluente na face e corpo; ou exantema atípico num indivíduo parcialmente imune durante uma epidemia de sarampo; ou evidência serológica de sarampo agudo",febre A03; outro exantema viral A76; erupção cutânea generalizada S07,,B05.0; B05.1; B05.2; B05.3; B05.4; B05.8; B05.9,"['B050', 'B051', 'B052', 'B053', 'B054', 'B058', 'B059']","['Sarampo complicado por encefalite', 'Sarampo complicado por meningite', 'Sarampo complicado por pneumonia', 'Sarampo complicado por otite média', 'Sarampo com complicações intestinais', 'Sarampo com outras complicações', 'Sarampo sem complicações']",Sarampo complicado por encefalite; Sarampo complicado por meningite; Sarampo complicado por pneumonia; Sarampo complicado por otite média; Sarampo com complicações intestinais; Sarampo com outras complicações; Sarampo sem complicações
A72,Varicela,Varicela,complicações de varicela,herpes zoster S70,"exantema vesicular que surge em fases sucessivas, em que as lesões evoluem rapidamente de pápulas superficiais para vesículas e, eventualmente, crostas",febre A03; outro exantema viral A76; erupção cutânea generalizada S07,,B01.0; B01.1; B01.2; B01.8; B01.9,"['B010', 'B011', 'B012', 'B018', 'B019']","['Meningite por varicela', 'Encefalite, mielite e encefalomielite por varicela', 'Pneumonia por varicela', 'Varicela com outras complicações', 'Varicela sem complicação']","Meningite por varicela; Encefalite, mielite e encefalomielite por varicela; Pneumonia por varicela; Varicela com outras complicações; Varicela sem complicação"
