cod,componente,nome,nome_curto,incl,excl,crit,cons,nota,icd10
-56,3,Penso/ligadura/compressão/tamponamento,Penso/ligadura/compressão/tamponam,,,,,,
-57,3,Medicina física/reabilitação,Medicina física/reabilitação,,,,,,
-58,3,Aconselhamento/escuta terapêutica,Aconselhamento/escuta terapêutica,,,,,,
-59,3,Outro procedimento terapêutico/pequena cirurgia NE,Outro procedi terap/pequena cirur NE,,,,,,
-60,4,Resultado de teste/procedimento,Resultado de teste/procedimento,,,,,,
-61,4,Resultado de exame/teste/registo/carta de outro prestador,Result exa/teste/regis/carta prestad,,,,,,
-62,5,Procedimento administrativo,Procedimento administrativo,,,,,,
-63,6,Consulta de seguimento não especificada,Consulta seguimento não especificada,,,,,,
-64,6,Consulta/problema iniciado pelo técnico de saúde,Consul/probl iniciado p/ técn saúde,,,,,,
-65,6,Consulta/problema iniciado por outra pessoa que não o doente/técnico,Consul/prob inic out q/ não dte/técn,,,,,,
-66,6,Referenciação para outro técnico de saúde/enfermeiro/terapeuta/assistente social,Referenc para prestador não médico,,,,,,
-67,6,Referenciação para médico/especialista/clínica/hospital,Referenc p/ méd/espec/clínica/hospit,,,,,,
-68,6,Outra referenciação NE,Outra referenciação NE,,,,,,
-69,6,Outro motivo de consulta NE,Outro motivo de consulta NE,,,,,,
A01,1,Dor generalizada/múltiplos locais,Dor generalizada/múltiplos locais,dor crónica generalizada; dores múltiplas,,,,,R52.0; R52.1; R52.2; R52.9
A02,1,Arrepios,Arrepios,calafrios; tremores,febre A03,,,,R68.8
A03,1,Febre,Febre,pirexia,febre com exantemas A76; exaustão pelo calor A88; golpe de calor A88,,,,R50.8; R50.9
A04,1,Debilidade/cansaço geral,Debilidade/cansaço geral,síndrome de fadiga crónica; exaustão; fadiga; lassidão; letargia; fadiga pós-viral,sentir-se doente/má-disposição A05; modorra A29; exaustão pelo calor A88; cansaço por desfasamento horário (jetlag) A88; perturbação do sono P06,,,,G93.3; R53
A05,1,Sentir-se doente,Sentir-se doente,mal-estar,senescência/senilidade P05; caquexia T08; malnutrição T91,,,,R53
A06,1,Desmaio/síncope,Desmaio/síncope,perda momentânea da consciência; colapso; crise vasovagal,coma A07; sentir-se tonto/tontura N17,,,,R55
A07,1,Coma,Coma,estupor,síncope A06,,,,R40.0; R40.1; R40.2
A08,1,Inchaço,Inchaço,alto; massa NE,gânglio linfático aumentado B02; edema K07; inchaço de articulação L20; inchaço da mama (tumor/nódulo da mama feminina) X19; inchaço da mama (sintoma/queixa da mama masculina) Y16,,,,R68.8
A09,1,Problema de sudorese,Problema de sudorese,"hiperhidrose, difusa e localizada",doença das glândulas sudoríparas S92,,,,R61.0; R61.1; R61.9
A10,1,Sangramento/hemorragia NE,Sangramento/hemorragia NE,sangramento/hemorragia de mais de um local/órgão,,,,,R58
A11,1,Dor torácica NE,Dor torácica NE,,dor atribuída ao coração K01; dor atribuída à parede torácica L04; dor atribuída ao sistema respiratório R01,,,,R07.4
A13,1,Preocupação com/medo de tratamento médico,Preocupação com/medo tratam médico,preocupação com/medo das consequências da medicação/de tratamento médico,efeito adverso de medicamento A85; complicação de tratamento médico/cirúrgico A87,,,,Z71.1
A16,1,Bebé irritavél,Bebé irritavél,choro excessivo/bebé agitado,cólica infantil D01; criança/adulto agitado P04,,,,R68.1
A18,1,Preocupação com a aparência,Preocupação com a aparência,,preocupação com o aspecto das orelhas H15; nariz proeminente R08; preocupação com a aparência na gravidez W21; preocupação com a aparência da mama X22,,,,R46.8
A20,1,Pedido/discussão da eutanásia,Pedido/discussão da eutanásia,,,,,,Z71.8
A21,1,Factor de risco para malignidade,Factor de risco para malignidade,outro factor de risco para malignidade; tratamento anterior de malignidade; história pessoal/familiar de malignidade,,,,,Z80.0; Z80.1; Z80.2; Z80.3; Z80.4; Z80.5; Z80.6; Z80.7; Z80.8; Z80.9; Z85.0; Z85.1; Z85.2; Z85.3; Z85.4; Z85.5; Z85.6; Z85.7; Z85.8; Z85.9; Z92.6
A23,1,Factor de risco NE,Factor de risco NE,contacto com doença infecciosa; outro factor de risco para outra doença; história pessoal/familiar de outra doença; episódio anterior de outra doença,factor de risco para malignidade A21; factor de risco para doença cardiovascular K22,,,,Z20.0; Z20.1; Z20.2; Z20.3; Z20.4; Z20.5; Z20.6; Z20.7; Z20.8; Z20.9; Z28.0; Z28.1; Z28.2; Z28.8; Z28.9; Z72.0; Z72.1; Z72.2; Z72.3; Z72.4; Z72.5; Z73.2; Z81.0; Z81.1; Z81.2; Z81.3; Z81.4; Z81.8; Z82.0; Z82.1; Z82.2; Z82.5; Z82.6; Z82.7; Z82.8; Z83.0; Z83.1; Z83.2; Z83.3; Z83.4; Z83.5; Z83.6; Z83.7; Z84.0; Z84.1; Z84.2; Z84.3; Z84.8; Z86.0; Z86.1; Z86.2; Z86.3; Z86.4; Z86.5; Z86.6; Z87.0; Z87.1; Z87.2; Z87.3; Z87.4; Z87.5; Z87.6; Z87.7; Z87.8; Z88.0; Z88.1; Z88.2; Z88.3; Z88.4; Z88.5; Z88.6; Z88.7; Z88.8; Z88.9; Z91.0; Z91.1; Z91.2; Z91.3; Z91.4; Z91.5; Z91.6; Z91.8; Z92.0; Z92.1; Z92.2; Z92.3; Z92.4; Z92.5; Z92.8; Z92.9
A25,1,Medo da morte/de morrer,Medo de morrer/da morte,,,,,,Z71.1
A26,1,"Medo de cancro, NE",Medo de cancro NE,,"se o doente tem cancro, codifique a doença",preocupação com/medo de cancro não relacionado com um capítulo específico numa pessoa sem a doença/até o diagnóstico ser confirmado,,,Z71.1
A27,1,Medo de outra doença NE,Medo de outra doença NE,,"medo de cancro NE A26; se o doente tem a doença, codifique-a",preocupação com/medo de outra doença não relacionada com um capítulo específico numa pessoa sem a doença/até o diagnóstico ser confirmado,,,Z71.1
A28,1,Limitação funcional/incapacidade NE,Limitação funcional/incapacidade NE,,quedas A29,limitação de função/incapacidade não relacionada com um problema em qualquer outro capítulo,,Os quadros COOP/WONCA permitem documentar o estado funcional do doente (ver Capítulo 8),R26.3; R29.6; Z73.6; Z74.0; Z74.1; Z74.2; Z74.3; Z74.8; Z74.9; Z99.0; Z99.3; Z99.8; Z99.9
A29,1,Sintoma/queixa geral outro,Sintoma/queixa geral outro,inépcia; quedas; sonolência,,,,,R68.0; R68.8
A70,7,Tuberculose,Tuberculose,efeito tardio da tuberculose; infecção por tuberculose em qualquer local do corpo,,conversão para um teste de tuberculina positivo; ou demonstração de Mycobacterium tuberculosis por microscopia ou cultura; ou manifestação característica na radiografia do tórax; ou apresentação histológica característica por biópsia,febre A03; tosse R05,,A15.0; A15.1; A15.2; A15.3; A15.4; A15.5; A15.6; A15.7; A15.8; A15.9; A16.0; A16.1; A16.2; A16.3; A16.4; A16.5; A16.7; A16.8; A16.9; A17.0; A17.1; A17.8; A17.9; A18.0; A18.1; A18.2; A18.3; A18.4; A18.5; A18.6; A18.7; A18.8; A19.0; A19.1; A19.2; A19.8; A19.9; B90.0; B90.1; B90.2; B90.8; B90.9; N74.0; N74.1
A71,7,Sarampo,Sarampo,complicações de sarampo,,"pródromo com injecção das conjuntivas, febre e tosse; mais manchas brancas em base vermelha nas membranas da mucosa jugal (manchas de Koplik)M´; ou erupção maculopapular confluente na face e corpo; ou exantema atípico num indivíduo parcialmente imune durante uma epidemia de sarampo; ou evidência serológica de sarampo agudo",febre A03; outro exantema viral A76; erupção cutânea generalizada S07,,B05.0; B05.1; B05.2; B05.3; B05.4; B05.8; B05.9
A72,7,Varicela,Varicela,complicações de varicela,herpes zoster S70,"exantema vesicular que surge em fases sucessivas, em que as lesões evoluem rapidamente de pápulas superficiais para vesículas e, eventualmente, crostas",febre A03; outro exantema viral A76; erupção cutânea generalizada S07,,B01.0; B01.1; B01.2; B01.8; B01.9
A73,7,Malária,Malária,complicações de malária,,febre intermitente com calafrios e suores frios num habitante/visitante recente de uma região de malária; ou demonstração de formas do parasita da malária no sangue periférico,febre A03,,B50.0; B50.8; B50.9; B51.0; B51.8; B51.9; B52.0; B52.8; B52.9; B53.0; B53.1; B53.8; B54
A74,7,Rubéola,Rubéola,complicações da rubéola,roséola infantil A76; rubéola congénita A94,"exantema agudo com gânglios linfáticos aumentados, mais frequentemente suboccipitais e retro-auriculares, com erupção cutânea macular na face, espalhando-se para o tronco e regiões proximais dos membros; ou evidência serológica de infecção de rubéola",febre A03; outro exantema viral A76; erupção cutânea generalizada S07,,B06.0; B06.8; B06.9
A75,7,Mononucleose infecciosa,Mononucleose infecciosa,febre glandular; doença de Pfeiffer,,inflamação das amígdalas/da faringe com linfadenopatia não confinada aos gânglios cervicais anteriores e linfócitos atípicos no esfregaço de sangue ou esplenomegália; ou título anormal de anticorpos heterófilos ou do vírus Epstein-Barr,febre A03; gânglios linfáticos aumentados B02; infecção aguda do trato respiratório superior R74,,B27.0; B27.1; B27.8; B27.9
A76,7,Exantema viral outro,Exantema viral outro,"varíola bovina; eritema infeccioso; febre com erupção cutânea; quinta doença; doença das mãos, pés e boca; roséola infantil",sarampo A71; varicela A72; rubéola A74; mononucleose infecciosa A75,,,,A88.0; B03; B04; B08.0; B08.2; B08.3; B08.4; B08.8; B09
A77,7,Doença viral outra/NE,Outra doença viral/NE,adenovírus; doenças por Coxsackie; febre dengue; febre de Ross River,outro exantema viral A76; eritema infecioso (quinta doença) A76; varíola bovina A76; gripe R80,,,,A82.0; A82.1; A82.9; A90; A91; A92.0; A92.1; A92.2; A92.3; A92.4; A92.8; A92.9; A93.0; A93.1; A93.2; A93.8; A94; A95.0; A95.1; A95.9; A96.0; A96.1; A96.2; A96.8; A96.9; A98.0; A98.1; A98.2; A98.3; A98.4; A98.5; A98.8; A99; B00.7; B25.0; B25.1; B25.2; B25.8; B25.9; B33.0; B33.1; B33.3; B33.8; B34.0; B34.1; B34.2; B34.3; B34.4; B34.8; B34.9; B97.0; B97.1; B97.2; B97.3; B97.4; B97.5; B97.6; B97.7; B97.8
A78,7,Outra doença infecciosa/NE,Outra doença infecciosa/NE,brucelose; infecção com localização não especificada; doença de Lyme; mycoplasma; febre Q; ricketsioses; escarlatina; doença sexualmente transmitida NE; aftas NE; toxoplasmose,meningite meningocócica N71,,,,A20.0; A20.1; A20.2; A20.3; A20.7; A20.8; A20.9; A21.0; A21.1; A21.2; A21.3; A21.7; A21.8; A21.9; A22.0; A22.1; A22.2; A22.7; A22.8; A22.9; A23.0; A23.1; A23.2; A23.3; A23.8; A23.9; A24.0; A24.1; A24.2; A24.3; A24.4; A25.0; A25.1; A25.9; A26.0; A26.7; A26.8; A26.9; A27.0; A27.8; A27.9; A28.0; A28.1; A28.2; A28.8; A28.9; A30.0; A30.1; A30.2; A30.3; A30.4; A30.5; A30.8; A30.9; A31.0; A31.1; A31.8; A31.9; A32.0; A32.7; A32.8; A32.9; A38; A39.1; A39.2; A39.3; A39.4; A39.8; A39.9; A40.0; A40.1; A40.2; A40.3; A40.8; A40.9; A41.0; A41.1; A41.2; A41.3; A41.4; A41.5; A41.8; A41.9; A42.0; A42.1; A42.2; A42.7; A42.8; A42.9; A43.0; A43.1; A43.8; A43.9; A44.0; A44.1; A44.8; A44.9; A48.0; A48.2; A48.3; A48.4; A48.8; A49.0; A49.1; A49.2; A49.3; A49.8; A49.9; A59.8; A59.9; A64; A68.0; A68.1; A68.9; A69.2; A69.8; A69.9; A70; A74.8; A74.9; A75.0; A75.1; A75.2; A75.3; A75.9; A77.0; A77.1; A77.2; A77.3; A77.8; A77.9; A78; A79.0; A79.1; A79.8; A79.9; B37.7; B37.8; B37.9; B38.0; B38.1; B38.2; B38.3; B38.4; B38.7; B38.8; B38.9; B39.0; B39.1; B39.2; B39.3; B39.4; B39.5; B39.9; B40.0; B40.1; B40.2; B40.3; B40.7; B40.8; B40.9; B41.0; B41.7; B41.8; B41.9; B42.0; B42.1; B42.7; B42.8; B42.9; B43.0; B43.1; B43.2; B43.8; B43.9; B45.0; B45.1; B45.2; B45.3; B45.7; B45.8; B45.9; B46.0; B46.1; B46.2; B46.3; B46.4; B46.5; B46.8; B46.9; B47.0; B47.1; B47.9; B48.0; B48.1; B48.2; B48.3; B48.4; B48.7; B48.8; B49; B55.0; B55.1; B55.2; B55.9; B56.0; B56.1; B56.9; B57.0; B57.1; B57.2; B57.3; B57.4; B57.5; B58.8; B58.9; B59; B60.0; B60.1; B60.2; B60.8; B64; B89; B92; B94.8; B94.9; B95.0; B95.1; B95.2; B95.3; B95.4; B95.5; B95.6; B95.7; B95.8; B96.0; B96.1; B96.2; B96.3; B96.4; B96.5; B96.6; B96.7; B96.8; B98.1; B99; R57.2; R65.0; R65.1; R65.2; R65.3; R65.9
A79,7,Neoplasia maligna NE,Neoplasia maligna NE,carcinomatose (localização primária desconhecida); neoplasia secundária/metastática com localização primária desconhecida,,evidência histológica de malignidade,doença/condição de natureza/localização não especificada A99,,C38.8; C45.9; C46.7; C46.8; C46.9; C76.0; C76.1; C76.2; C76.3; C76.4; C76.5; C76.7; C76.8; C78.0; C78.1; C78.2; C78.3; C78.4; C78.5; C78.6; C78.7; C78.8; C79.0; C79.1; C79.2; C79.3; C79.4; C79.5; C79.6; C79.7; C79.8; C80.0; C80.9; C97; D09.7; D09.9
A80,7,Traumatismo/ferimento NE,Traumatismo/ferimento NE,acidente de viação,lesão traumática múltipla A81; efeitos tardios de lesão traumática A82,,,,S11.0; S11.1; S11.2; S11.7; S11.8; S11.9; S15.0; S15.1; S15.2; S15.3; S15.7; S15.8; S15.9; S21.0; S21.1; S21.2; S21.7; S21.8; S21.9; S25.0; S25.1; S25.2; S25.3; S25.4; S25.5; S25.7; S25.8; S25.9; S26.0; S26.8; S26.9; S27.8; S27.9; S35.0; S35.1; S35.2; S35.3; S35.4; S35.5; S35.7; S35.8; S35.9; S37.9; S38.1; S38.3; S39.0; S39.6; S39.7; S39.8; S39.9; S45.0; S45.1; S45.2; S45.3; S45.7; S45.8; S45.9; S55.0; S55.1; S55.2; S55.7; S55.8; S55.9; S65.0; S65.1; S65.2; S65.3; S65.4; S65.5; S65.7; S65.8; S65.9; S75.0; S75.1; S75.2; S75.7; S75.8; S75.9; S85.0; S85.1; S85.2; S85.3; S85.4; S85.5; S85.7; S85.8; S85.9; S95.0; S95.1; S95.2; S95.7; S95.8; S95.9; T14.5; T14.7; T14.8; T14.9; T28.4; T28.9
A81,7,Traumatismos/ferimentos múltiplos,Traumatismos/ferimentos múltiplos,ferimentos internos múltiplos NE,,,,"Nesta classificação, os termos 'geral' e 'múltiplo' referem-se a três ou mais localizações ou sistemas corporais. As condições que afectam uma ou duas zonas deverão ser codificadas nestas.",S17.0; S17.8; S17.9; S18; S19.7; S19.8; S19.9; S28.0; S28.1; S29.0; S29.7; S29.8; S29.9; S31.7; S36.7; S36.8; S37.7; S37.8; S39.0; S39.6; S39.7; S39.8; S39.9; T00.0; T00.1; T00.2; T00.3; T00.6; T00.8; T00.9; T01.0; T01.1; T01.2; T01.3; T01.6; T01.8; T01.9; T02.0; T02.1; T02.2; T02.3; T02.4; T02.5; T02.6; T02.7; T02.8; T02.9; T03.0; T03.1; T03.2; T03.3; T03.4; T03.8; T03.9; T04.0; T04.1; T04.2; T04.3; T04.4; T04.7; T04.8; T04.9; T05.0; T05.1; T05.2; T05.3; T05.4; T05.5; T05.6; T05.8; T05.9; T06.5; T06.8; T07; T29.0; T29.1; T29.2; T29.3; T29.4; T29.5; T29.6; T29.7
A82,7,Efeito secundário de traumatismo,Efeito secundário de traumatismo,deformidade/cicatriz resultante de ferimento anterior; amputação anterior,efeitos psicológicos do traumatismo/reacção aguda ao stress P02; perturbação de stress pós-traumático P82; ferida infectada S11; cicatriz da pele S99; efeitos relacionados com sistemas corporais específicos (codificar no capítulo do sistema),,,,T79.0; T79.1; T79.2; T79.4; T79.5; T79.7; T79.8; T79.9; T90.0; T90.1; T90.2; T90.3; T90.4; T90.5; T90.8; T90.9; T91.0; T91.1; T91.2; T91.3; T91.4; T91.5; T91.8; T91.9; T92.0; T92.1; T92.2; T92.3; T92.4; T92.5; T92.6; T92.8; T92.9; T93.0; T93.1; T93.2; T93.3; T93.4; T93.5; T93.6; T93.8; T93.9; T94.0; T94.1; T95.0; T95.1; T95.2; T95.3; T95.4; T95.8; T95.9; T96; T97; T98.0; T98.1; T98.2; T98.3
A84,7,Intoxicação por medicamento,Intoxicação por medicamento,efeito tóxico de overdose de agente medicinal,abuso de medicação P18; tentativa de suicídio P77; coma insulínico T87,toxicidade/incapacidade provocada por overdose acidental/deliberada de um agente com propriedades medicinais quando tomado na dose habitual,,,T36.0; T36.1; T36.2; T36.3; T36.4; T36.5; T36.6; T36.7; T36.8; T36.9; T37.0; T37.1; T37.2; T37.3; T37.4; T37.5; T37.8; T37.9; T38.0; T38.1; T38.2; T38.3; T38.4; T38.5; T38.6; T38.7; T38.8; T38.9; T39.0; T39.1; T39.2; T39.3; T39.4; T39.8; T39.9; T40.0; T40.1; T40.2; T40.3; T40.4; T40.5; T40.6; T40.7; T40.8; T40.9; T41.0; T41.1; T41.2; T41.3; T41.4; T41.5; T42.0; T42.1; T42.2; T42.3; T42.4; T42.5; T42.6; T42.7; T42.8; T43.0; T43.1; T43.2; T43.3; T43.4; T43.5; T43.6; T43.8; T43.9; T44.0; T44.1; T44.2; T44.3; T44.4; T44.5; T44.6; T44.7; T44.8; T44.9; T45.0; T45.1; T45.2; T45.3; T45.4; T45.5; T45.6; T45.7; T45.8; T45.9; T46.0; T46.1; T46.2; T46.3; T46.4; T46.5; T46.6; T46.7; T46.8; T46.9; T47.0; T47.1; T47.2; T47.3; T47.4; T47.5; T47.6; T47.7; T47.8; T47.9; T48.0; T48.1; T48.2; T48.3; T48.4; T48.5; T48.6; T48.7; T49.0; T49.1; T49.2; T49.3; T49.4; T49.5; T49.6; T49.7; T49.8; T49.9; T50.8; T50.9
A85,7,Efeito adverso de um medicamento,Efeito adverso de um medicamento,efeito adverso/alergia/anafilaxia devido a medicação em dose correcta,envenenamento por agente medicinal A84; reacção à imunização/transfusão A87; Parkinsonismo N87; abuso de medicação P18; dermatite de contacto S88; coma insulínico T87; nefropatia por analgésicos U88,sintoma/queixa atribuído à utilização adequada de medicamentos e não a uma doença ou ferimento,,É possível ainda codificar a natureza do efeito secundário,D61.1; D64.2; G44.4; I95.2; J70.2; J70.3; J70.4; L27.0; L27.1; P93; R50.2; T88.6; T88.7
A86,7,Efeito tóxico de uma substância não-medicinal,Efeito tóxico de subst não-medicinal,efeito tóxico geral/local de monóxido de carbono; efeito tóxico geral/local de materiais industriais; efeito tóxico geral/local de chumbo; efeito tóxico geral/local de animais/insectos/plantas/serpentes venenosos,envenenamento por agente medicinal A84; efeito adverso de agente medicinal A85; abuso crónico/agudo do álcool (abuso crónico do álcool) P15; abuso crónico/agudo do álcool (abuso agudo do álcool) P16; abuso do tabaco P17; abuso de medicação P18; abuso de drogas P19; efeitos tóxicos respiratórios R99; mordeduras/ferroadas não-tóxicas de insecto S12; mordeduras não-tóxicas de animal/humano S13; queimaduras químicas externas S14; dermatite de contacto S88,,,,D61.2; D64.2; T51.0; T51.1; T51.2; T51.3; T51.8; T51.9; T52.0; T52.1; T52.2; T52.3; T52.4; T52.8; T52.9; T53.0; T53.1; T53.2; T53.3; T53.4; T53.5; T53.6; T53.7; T53.9; T54.0; T54.1; T54.2; T54.3; T54.9; T55; T56.0; T56.1; T56.2; T56.3; T56.4; T56.5; T56.6; T56.7; T56.8; T56.9; T57.0; T57.1; T57.2; T57.3; T57.8; T57.9; T58; T59.0; T59.1; T59.2; T59.3; T59.4; T59.5; T59.6; T59.7; T59.8; T59.9; T60.0; T60.1; T60.2; T60.3; T60.4; T60.8; T60.9; T61.0; T61.1; T61.2; T61.8; T61.9; T62.0; T62.1; T62.2; T62.8; T62.9; T63.0; T63.1; T63.2; T63.3; T63.4; T63.5; T63.6; T63.8; T63.9; T64; T65.0; T65.1; T65.2; T65.3; T65.4; T65.5; T65.6; T65.8; T65.9
A87,7,Complicação de tratamento médico,Complicação de tratamento médico,choque anestésico; reacção a imunização/transfusão; linfedema pós-cirúrgico; infecção/hemorragia/deiscência de ferida pós-operatória; problemas resultantes de radiação diagnóstica/terapêutica,envenenamento por agente medicinal A84; efeitos adversos da medicação A85; síndrome de esvaziamento rápido (dumping) D99; síndromes pós-cirurgia gástrica D99; má absorção pós-cirúrgica não classificada noutro local D99; hipoglicémia T87,uma perturbação inesperada resultante de tratamento/outra forma de terapêutica cirúrgico/médico/com raios-X,,,E89.0; E89.1; E89.2; E89.3; E89.4; E89.5; E89.6; E89.8; E89.9; G97.0; G97.1; G97.2; G97.8; G97.9; H59.0; H59.8; H59.9; H95.0; H95.1; H95.8; H95.9; I97.0; I97.1; I97.2; I97.8; I97.9; J70.0; J70.1; J70.8; J70.9; J95.0; J95.1; J95.2; J95.3; J95.4; J95.5; J95.8; J95.9; K43.2; K43.3; K43.4; K43.5; K52.0; K91.0; K91.3; M96.0; M96.1; M96.2; M96.3; M96.4; M96.5; M96.6; M96.8; M96.9; N98.0; N98.1; N98.2; N98.3; N98.8; N98.9; N99.0; N99.1; N99.2; N99.3; N99.4; N99.5; N99.8; N99.9; O29.0; O29.1; O29.2; O29.3; O29.4; O29.5; O29.6; O29.8; O29.9; O74.0; O74.1; O74.2; O74.3; O74.4; O74.5; O74.6; O74.7; O74.8; O74.9; O86.0; O89.0; O89.1; O89.2; O89.3; O89.4; O89.5; O89.6; O89.8; O89.9; O90.0; O90.1; O90.2; T80.0; T80.1; T80.2; T80.3; T80.4; T80.5; T80.6; T80.8; T80.9; T81.0; T81.1; T81.2; T81.3; T81.4; T81.5; T81.6; T81.7; T81.8; T81.9; T86.0; T86.1; T86.2; T86.3; T86.4; T86.8; T86.9; T87.0; T87.1; T87.2; T87.3; T87.4; T87.5; T87.6; T88.0; T88.1; T88.2; T88.3; T88.4; T88.5; T88.8; T88.9
A88,7,Efeito adverso por factor físico,Efeito adverso por factor físico,efeito adverso de frio/calor/relâmpago/movimento/pressão/radiação; frieiras; afogamento; jet lag (cansaço e distúrbios causados pela diferença de fuso horário),efeito de radiação médica A87; cegueira da neve F79; efeito do álcool (abuso crónico do álcool) P15; efeito do álcool (abuso agudo do álcool) P16; efeito do tabaco P17; queimadura devido a radiação S14; queimadura solar S80,,,,T33.0; T33.1; T33.2; T33.3; T33.4; T33.5; T33.6; T33.7; T33.8; T33.9; T34.0; T34.1; T34.2; T34.3; T34.4; T34.5; T34.6; T34.7; T34.8; T34.9; T35.0; T35.1; T35.2; T35.3; T35.4; T35.5; T35.6; T35.7; T66; T67.0; T67.1; T67.2; T67.3; T67.4; T67.5; T67.6; T67.7; T67.8; T67.9; T68; T69.0; T69.1; T69.8; T69.9; T70.2; T70.3; T70.4; T70.8; T70.9; T71; T73.0; T73.1; T73.2; T73.3; T73.8; T73.9; T75.0; T75.1; T75.2; T75.3; T75.4; T75.8; T78.8; T78.9
A89,7,Efeito de uma prótese,Efeito de uma prótese,"desconforto/incapacidade/deficiência/dor/limitação da função resultante da instalação/utilização de um dispositivo para fornecer/corrigir deficiências: catéter, colostomia, gastrostomia, válvula cardíaca, prótese articular, transplante de órgão, pacemaker",efeito de dentadura/dentes falsos D19,,,,K91.4; T82.0; T82.1; T82.2; T82.3; T82.4; T82.5; T82.6; T82.7; T82.8; T82.9; T83.0; T83.1; T83.2; T83.3; T83.4; T83.5; T83.6; T83.8; T83.9; T84.0; T84.1; T84.2; T84.3; T84.4; T84.5; T84.6; T84.7; T84.8; T84.9; T85.0; T85.1; T85.2; T85.3; T85.4; T85.5; T85.6; T85.7; T85.8; T85.9; Z43.0; Z43.1; Z43.2; Z43.3; Z43.4; Z43.5; Z43.6; Z43.7; Z43.8; Z43.9; Z44.0; Z44.1; Z44.2; Z44.3; Z44.8; Z44.9; Z45.0; Z45.1; Z45.2; Z45.3; Z45.8; Z45.9; Z46.1; Z46.2; Z46.3; Z46.4; Z46.5; Z46.6; Z46.7; Z46.8; Z46.9; Z93.0; Z93.1; Z93.2; Z93.3; Z93.4; Z93.5; Z93.6; Z93.8; Z93.9; Z94.0; Z94.1; Z94.2; Z94.3; Z94.4; Z94.5; Z94.6; Z94.7; Z94.8; Z94.9; Z95.0; Z95.1; Z95.2; Z95.3; Z95.4; Z95.5; Z95.8; Z95.9; Z96.0; Z96.1; Z96.2; Z96.3; Z96.4; Z96.5; Z96.6; Z96.7; Z96.8; Z96.9; Z97.0; Z97.1; Z97.2; Z97.3; Z97.4; Z97.5; Z97.8
